frame,ssim,mse,text,trans
263,99.97,2.890332128064836e-06,,
264,99.96,2.890332128064836e-06,,
265,99.98,1.445166064032418e-06,,
266,99.92,5.780664256129672e-06,,
267,99.9,8.670996384194507e-06,,
268,99.94,5.780664256129672e-06,,
269,99.96,4.335498192097253e-06,,
270,99.96,4.335498192097253e-06,,
271,99.77,1.0116162448226928e-05,,
272,99.88,8.670996384194507e-06,,
273,99.93,5.780664256129672e-06,,
274,99.91,7.22583032016209e-06,,
275,99.91,7.22583032016209e-06,,
276,99.93,5.780664256129672e-06,,
277,99.99,0.0,,
278,99.89,7.22583032016209e-06,,
279,99.96,4.335498192097253e-06,,
280,99.9,4.335498192097253e-06,,
281,99.96,2.890332128064836e-06,,
282,99.97,2.890332128064836e-06,,
283,99.97,2.890332128064836e-06,,
284,100.0,0.0,,
285,99.99,0.0,,
286,99.95,1.445166064032418e-06,,
287,99.97,2.890332128064836e-06,,
288,99.96,4.335498192097253e-06,,
289,99.95,4.335498192097253e-06,,
290,99.96,4.335498192097253e-06,,
291,99.94,4.335498192097253e-06,,
292,99.87,7.22583032016209e-06,,
293,99.92,5.780664256129672e-06,,
294,99.95,2.890332128064836e-06,,
295,99.99,1.445166064032418e-06,,
296,99.97,1.445166064032418e-06,,
297,100.0,0.0,,
298,99.99,0.0,,
299,99.93,1.445166064032418e-06,,
300,99.98,1.445166064032418e-06,,
301,98.33,2.0232324896453855e-05,,
302,98.84,1.5896826704356598e-05,,
303,99.91,1.445166064032418e-06,,
304,99.73,4.335498192097253e-06,,
305,99.68,5.780664256129672e-06,,
306,99.94,1.445166064032418e-06,,
307,99.31,1.0116162448226928e-05,,
308,99.62,5.780664256129672e-06,,
309,99.6,8.670996384194507e-06,,
310,99.58,8.670996384194507e-06,,
311,99.94,2.890332128064836e-06,,
312,99.94,2.890332128064836e-06,,
313,99.43,8.670996384194507e-06,,
314,99.79,2.890332128064836e-06,,
315,99.87,2.890332128064836e-06,,
316,99.88,1.445166064032418e-06,,
317,99.99,0.0,,
318,99.84,2.890332128064836e-06,,
319,100.0,0.0,,
320,100.0,0.0,,
321,100.0,0.0,,
322,100.0,0.0,,
323,100.0,0.0,,
324,99.94,1.445166064032418e-06,,
325,99.96,1.445166064032418e-06,,
326,99.97,1.445166064032418e-06,,
327,99.99,0.0,,
328,99.87,4.335498192097253e-06,,
329,99.99,0.0,,
330,99.99,1.445166064032418e-06,,
331,99.94,2.890332128064836e-06,,
332,99.96,2.890332128064836e-06,,
333,99.97,2.890332128064836e-06,,
334,99.99,1.445166064032418e-06,,
335,99.98,1.445166064032418e-06,,
336,99.99,1.445166064032418e-06,,
337,99.99,0.0,,
338,99.99,1.445166064032418e-06,,
339,99.99,1.445166064032418e-06,,
340,99.99,1.445166064032418e-06,,
341,99.99,1.445166064032418e-06,,
342,99.99,1.445166064032418e-06,,
343,99.99,0.0,,
344,99.99,1.445166064032418e-06,,
345,99.99,1.445166064032418e-06,,
346,99.99,1.445166064032418e-06,,
347,99.99,0.0,,
348,99.99,1.445166064032418e-06,,
349,99.99,1.445166064032418e-06,,
350,99.99,1.445166064032418e-06,,
351,99.85,1.0116162448226928e-05,,
352,99.97,1.445166064032418e-06,,
353,100.0,0.0,,
354,100.0,0.0,,
355,100.0,0.0,,
356,100.0,0.0,,
357,100.0,0.0,,
358,100.0,0.0,,
359,100.0,0.0,,
360,100.0,0.0,,
361,98.81,1.445166064032418e-05,,
362,98.66,2.0232324896453855e-05,,
363,99.9,7.22583032016209e-06,,
364,99.88,5.780664256129672e-06,,
365,99.87,1.3006494576291761e-05,,
366,99.9,7.22583032016209e-06,,
367,99.86,7.22583032016209e-06,,
368,99.9,5.780664256129672e-06,,
369,99.94,4.335498192097253e-06,,
370,99.64,7.22583032016209e-06,,
371,99.97,1.445166064032418e-06,,
372,99.99,1.445166064032418e-06,,
373,99.61,7.22583032016209e-06,,
374,99.94,1.445166064032418e-06,,
375,99.97,1.445166064032418e-06,,
376,99.75,4.335498192097253e-06,,
377,99.99,1.445166064032418e-06,,
378,99.88,2.890332128064836e-06,,
